"","Age","M","F"
"1","0-4",285503,270080
"2","5-9",289380,274045
"3","10-14",288155,273494
"4","15-19",242044,230222
"5","20-24",250759,239437
"6","25-29",335017,320767
"7","30-34",370779,350669
"8","35-39",406424,382488
"9","40-44",481359,457067
"10","45-49",427866,407941
"11","50-54",343847,332671
"12","55-59",327985,328624
"13","60-64",317708,338324
"14","65-69",316815,366624
"15","70-74",260830,331207
"16","75-79",158685,226800
"17","80-84",80367,133505
"18","85-89",43496,80965
"19","90-94",11916,24682
"20","95-99",2138,4523
"21","100+",17,0
