country,age_min,age_max,seroprev,ciL,ciU
Spain,0,1,0.011,0.003,0.038
Spain,1,4,0.022,0.014,0.036
Spain,5,9,0.03,0.023,0.041
Spain,10,14,0.039,0.031,0.049
Spain,15,19,0.038,0.03,0.049
Spain,20,24,0.045,0.035,0.057
Spain,25,29,0.048,0.037,0.061
Spain,30,34,0.038,0.029,0.049
Spain,35,39,0.046,0.038,0.056
Spain,40,44,0.053,0.045,0.062
Spain,45,49,0.057,0.049,0.067
Spain,50,54,0.058,0.049,0.069
Spain,55,59,0.061,0.052,0.072
Spain,60,64,0.059,0.05,0.07
Spain,65,69,0.062,0.051,0.074
Spain,70,74,0.069,0.057,0.083
Spain,75,79,0.061,0.048,0.077
Spain,80,84,0.051,0.038,0.069
Spain,85,89,0.056,0.038,0.082
Spain,90,100,0.058,0.032,0.1
Geneva,5,19,0.061,0.023,0.102
Geneva,20,49,0.084,0.049,0.117
Geneva,50,100,0.043,0.009,0.06
New York,18,24,0.117,,
New York,25,34,0.186,,
New York,35,44,0.158,,
New York,45,54,0.164,,
New York,55,64,0.168,,
New York,65,74,0.116,,
New York,75,100,0.009,,
